,Words,Frequency
390,vand,991
391,glæde,991
392,hører,986
393,nat,983
394,dagen,976
395,ida,972
396,grund,971
397,givet,970
398,nye,967
399,netop,965
400,hånd,963
401,vort,958
402,morgen,953
403,een,951
404,gjør,948
405,israel,938
406,marie,937
407,stadig,936
408,konge,935
409,lød,934
410,drog,932
411,imidlertid,930
412,holst,928
413,hjerte,927
414,ven,927
415,vejen,924
416,naturligvis,923
417,udenfor,921
418,tager,920
419,bordet,917
420,stort,917
421,icke,913
422,rigtig,912
423,huset,908
424,hjemme,906
425,sang,904
426,fulgte,899
427,jer,893
428,lyst,887
429,pige,886
430,blandt,886
431,fire,883
432,øjnene,881
433,bad,877
434,borte,876
435,solen,873
436,sjæl,872
437,viste,872
438,lov,871
439,david,867
440,slags,866
441,inden,861
442,alligevel,859
443,see,858
444,kommet,858
445,mund,858
446,r,857
447,mest,852
448,lang,851
449,større,850
450,moses,849
451,jesus,846
452,sidder,846
453,william,840
454,ofte,839
455,altsaa,836
456,hørt,834
457,søgte,829
458,ondt,827
459,mørke,827
460,følge,827
461,bedste,825
462,lader,824
463,ung,824
464,barn,820
465,veed,819
466,nede,817
467,per,815
468,kong,815
469,folket,811
470,tiden,810
471,dertil,810
472,længere,807
473,ett,806
474,sætte,804
475,natten,799
476,mer,797
477,strax,796
478,vise,789
479,ende,780
480,staa,779
481,højt,776
482,fremmede,776
483,stykke,771
484,forhold,768
485,kone,767
486,bud,765
487,sendte,765
488,tine,761
489,fortalte,759
490,haffde,759
491,ro,758
492,by,757
493,gulvet,754
494,sandt,752
495,glad,750
496,haft,748
497,sat,746
498,bringe,743
499,manden,738
500,kastede,732
501,jord,731
502,troede,731
503,nei,730
504,derpå,730
505,tag,728
506,skridt,728
507,vis,728
508,langsomt,728
509,vandet,727
510,leve,716
511,langs,715
512,kaldte,715
513,bragte,715
514,fred,714
515,paris,714
516,trak,713
517,datter,712
518,egne,711
519,penge,711
520,taler,710
521,karl,708
522,tak,706
523,sind,705
524,hverken,705
525,mikkel,704
526,hustru,703
527,ti,702
528,gjennem,702
529,fem,701
530,jerusalem,698
531,dør,698
532,arbejde,697
533,år,696
534,går,692
535,fald,691
536,sten,689
537,talt,688
538,kvinde,687
539,fuld,687
540,kender,685
541,muligt,685
542,én,683
543,greb,682
544,røde,681
545,sidde,681
546,hænderne,680
547,lukkede,678
548,hvilket,677
549,derpaa,674
550,arm,673
551,arme,672
552,seng,671
553,ventede,668
554,broder,668
555,sag,668
556,halvt,666
557,jens,664
558,himlen,663
559,slægt,663
560,e,663
561,blomster,661
562,lagt,659
563,brev,658
564,v,656
565,fri,654
566,falde,653
567,sorte,646
568,rejse,644
569,igennem,642
570,stærkt,640
571,blod,639
572,von,638
573,bange,638
574,venner,636
575,spise,635
576,hellige,634
577,aff,633
578,møde,633
579,hjælp,631
580,bog,629
581,lægge,627
582,skønt,626
583,dersom,623
584,kendte,623
585,berg,622
586,rette,621
587,levende,618
588,hvilke,618
589,sagte,617
590,traadte,617
591,bar,616
592,tæt,615
593,lykke,615
594,luften,615
595,faderen,615
596,smil,615
597,aftenen,615
598,fat,614
599,brødre,610
600,magt,606
601,halv,605
602,stuen,600
603,høje,600
604,onde,600
605,derefter,597
606,hvori,597
607,dyr,596
608,sprang,594
609,sagen,594
610,derved,594
611,ære,591
612,tanke,590
613,kjøbenhavn,590
614,stilling,589
615,eget,588
616,lyder,587
617,syv,586
618,ringe,586
619,nemlig,586
620,føre,580
621,udbrød,578
622,time,577
623,ild,576
624,dreng,576
625,stirrede,575
626,bedst,575
627,mener,573
628,dybt,573
629,høj,572
630,staaende,571
631,bestandig,571
632,bøjede,569
633,næppe,569
634,mærke,569
635,vinduet,568
636,havet,568
637,nyt,566
638,bleve,566
639,forstod,566
640,elskede,563
641,gaarden,562
642,megen,562
643,vær,562
644,ville,561
645,undertiden,560
646,-det,560
647,ansigtet,558
648,kraft,557
649,elsker,556
650,ta,555
651,minna,554
652,skoven,553
653,øje,553
654,ei,553
655,dengang,551
656,bestemt,549
657,hør,548
658,nærmere,547
659,egentlig,547
660,tjener,547
661,ombord,545
662,steg,545
663,klæder,544
664,bære,542
665,fod,541
666,an,541
667,stedet,538
668,mæ,538
669,helst,537
670,åsyn,537
671,derimod,537
672,falder,536
673,rige,536
674,fundet,536
675,kongens,535
676,mente,534
677,finder,534
678,iblandt,534
679,tænkt,533
680,findes,532
681,tidligere,532
682,læste,531
683,folkene,531
684,karen,530
685,fortælle,529
686,enkelte,529
687,tider,529
688,hundrede,529
689,aldeles,528
690,kvinder,528
691,munden,528
692,bord,526
693,få,525
694,niels,524
695,sikkert,522
696,faae,520
697,skrevet,519
698,gaae,519
699,klokken,517
700,henne,516
701,guld,516
702,tilsidst,516
703,steder,515
704,aabnede,513
705,døden,512
706,ben,511
707,franske,510
708,står,510
709,drage,510
710,farvel,510
711,naaede,510
712,hjærte,508
713,ægypten,507
714,væsen,506
715,lever,505
716,naade,505
717,røst,504
718,drikke,503
719,stærke,500
720,hjælpe,500
721,vrede,500
722,seer,499
723,mon,499
724,længer,499
725,tør,499
726,dø,498
727,mørket,498
728,efterhaanden,497
729,tænker,497
730,tunge,497
731,skibet,497
732,mindste,495
733,lyset,494
734,løftede,494
735,ellen,492
736,svar,492
737,søge,491
738,sidst,490
