,Words,Frequency
430,blancas,6
431,hallé,6
432,-le,6
433,hijo,6
434,sepa,6
435,llaman,6
436,maldito,6
437,pensaba,6
438,ocho,6
439,perdone,6
440,sentía,6
441,esa,5
442,va,5
443,dellas,5
444,salir,5
445,racimo,5
446,piernas,5
447,hacienda,5
448,dende,5
449,pasar,5
450,demás,5
451,andar,5
452,comienzo,5
453,larga,5
454,rezar,5
455,arroyo,5
456,dado,5
457,favor,5
458,plaza,5
459,limosna,5
460,propósito,5
461,vista,5
462,meter,5
463,tiento,5
464,gracias,5
465,salió,5
466,suelo,5
467,deste,5
468,ninguno,5
469,contando,5
470,trabajo,5
471,trabajos,5
472,encima,5
473,contar,5
474,escudero,5
475,sintió,5
476,considerando,5
477,dientes,5
478,harto,5
479,pensar,5
480,ojo,5
481,tienen,5
482,mira,5
483,contaba,5
484,ti,5
485,astuto,5
486,quitaba,5
487,entrar,5
488,alto,5
489,haría,5
490,han,5
491,frío,5
492,estuvimos,5
493,doy,5
494,provecho,5
495,tenían,5
496,maravedís,5
497,sacar,5
498,dicha,5
499,costa,5
500,cuerpo,5
501,aún,5
502,hallar,5
503,pensé,5
504,oí,5
505,contado,5
506,has,5
507,él-,5
508,río,5
509,díjele,5
510,mandó,5
511,tenido,5
512,daban,5
513,mitad,5
514,allá,5
515,creo,5
516,hecha,5
517,comisario,5
518,hacen,5
519,respondió,5
520,queso,5
521,respondí,5
522,hábito,5
523,amos,5
524,nuestra,5
525,palabra,5
526,niño,5
527,bocado,5
528,venían,5
529,dubda,5
530,justicia,5
531,derecho,5
532,señal,5
533,vine,5
534,temor,5
535,lacerado,5
536,quince,5
537,años,5
538,panes,4
539,gesto,4
540,desto,4
541,falsas,4
542,hablaba,4
543,bajo,4
544,tío,4
545,sano,4
546,solía,4
547,buscar,4
548,ruin,4
549,rezaba,4
550,hubiera,4
551,miró,4
552,ciertos,4
553,continente,4
554,quise,4
555,salamanca,4
556,color,4
557,arriba,4
558,acuerdo,4
559,tomé,4
560,hemos,4
561,pecados,4
562,sacó,4
563,bodigo,4
564,estas,4
565,sido,4
566,toca,4
567,-decía,4
568,quieren,4
569,hube,4
570,pago,4
571,tornando,4
572,acá,4
573,viéndome,4
574,entrada,4
575,cruel,4
576,bestias,4
577,descanso,4
578,calor,4
579,dejo,4
580,dinero,4
581,sazón,4
582,delante,4
583,nabo,4
584,jamás,4
585,noches,4
586,dejaba,4
587,estado,4
588,mañas,4
589,remediar,4
590,ellos-,4
591,salvo,4
592,fardel,4
593,sabe,4
594,poste,4
595,debió,4
596,echado,4
597,oyó,4
598,aquellas,4
599,quitar,4
600,tarde,4
601,conmigo,4
602,lazarillo,4
603,buscaba,4
604,mes,4
605,cargo,4
606,cierra,4
607,lumbre,4
608,hallaba,4
609,beber,4
610,primer,4
611,dellos,4
612,ve,4
613,mí-,4
614,echaba,4
615,vuelto,4
616,dejado,4
617,calzas,4
618,lengua,4
619,seguro,4
620,marido,4
621,tenga,4
622,pedazo,4
623,malo,4
624,agujero,4
625,tomad,4
626,parecer,4
627,aprovechaba,4
628,bolsa,4
629,destas,4
630,punto,4
631,ido,4
632,habrá,4
633,toro,4
634,ganancia,4
635,-me,4
636,escalona,4
637,supe,4
638,llorando,4
639,pequeño,4
640,fin,4
641,cuán,4
642,fueron,4
643,vía,4
644,ayuda,4
645,salimos,4
646,llegando,4
647,dormir,4
648,amor,4
649,piedra,4
650,comienza,4
651,unas,4
652,estuvo,4
653,diese,4
654,éstos,4
655,hiciera,4
656,lóbrega,4
657,obscura,4
658,lugares,4
659,llegó,4
660,maldad,4
661,fuimos,4
662,maltratado,4
663,tuve,4
664,tienes,4
665,toma,4
666,veo,4
667,lástima,4
668,respondió-,4
669,dónde,4
670,entrando,4
671,dichos,4
672,abro,4
673,decís,4
674,cámara,4
675,darme,4
676,agujeros,4
677,peligro,4
678,recio,4
679,cinco,4
680,pena,4
681,hubo,4
682,cerrar,4
683,viniese,4
684,están,4
685,corazón,4
686,cerca,4
687,tomo,4
688,dello,4
689,cuánto,4
690,poyo,4
691,traidor,3
692,hallo,3
693,cuantos,3
694,solar,3
695,medias,3
696,saqué,3
697,perdido,3
698,garganta,3
699,justo,3
700,cayese,3
701,creyó,3
702,sant,3
703,pedía,3
704,rodillas,3
705,asiento,3
706,espantado,3
707,falsedad,3
708,hayas,3
709,habíamos,3
710,necesidad,3
711,aprovecha,3
712,cuchillo,3
713,principal,3
714,tablillas,3
715,mesa,3
716,tuvo,3
717,dé,3
718,quinto,3
719,quisiese,3
720,testigos,3
721,pensó,3
722,ratonera,3
723,ahí,3
724,comí,3
725,pasada,3
726,uvas,3
727,dormí,3
728,-dicen,3
729,comíamos,3
730,clavos,3
731,hijos,3
732,golpe,3
733,uña,3
734,paredes,3
735,vaca,3
736,deuda,3
737,asido,3
738,solamente,3
739,mirando,3
740,buscando,3
741,gana,3
742,tripas,3
743,flaqueza,3
744,paja,3
745,estuviese,3
746,hallase,3
747,tomaban,3
748,sentí,3
749,blanco,3
750,partes,3
751,cuidado,3
752,vuestras,3
753,voluntad,3
754,portal,3
755,hablar,3
756,pasado,3
757,caer,3
758,rey,3
759,diligencias,3
760,comida,3
761,quedó,3
762,paz,3
763,venganza,3
764,bastaban,3
765,inocente,3
766,trueco,3
767,apenas,3
768,duda,3
769,suele,3
770,diligencia,3
771,salud,3
772,llegóse,3
773,rogado,3
774,risueño,3
775,donaires,3
776,fuime,3
777,cenar,3
778,levantóse,3
779,nombre,3
780,tuvieron,3
781,durmiendo,3
782,-dijo-,3
783,oír,3
784,pared,3
785,doce,3
786,viejas,3
787,hacia,3
788,yendo,3
789,posible,3
790,enojo,3
791,dormía,3
792,pecado,3
793,villa,3
794,pesar,3
795,sabes,3
796,vecino,3
797,venga,3
798,gracia,3
799,fuesen,3
800,reñir,3
801,sotil,3
802,acordaron,3
803,palabras,3
804,negocios,3
805,verá,3
806,largo,3
807,sólo,3
808,traído,3
809,pensara,3
810,estábamos,3
811,teniendo,3
812,abre,3
813,nariz,3
814,amigos,3
815,pedir,3
816,viniendo,3
817,mujercillas,3
818,bebo,3
819,real,3
820,salto,3
821,dijeron,3
822,inventario,3
823,moría,3
824,avariento,3
825,comenzamos,3
826,llevado,3
827,allende,3
828,huéspedes,3
829,devoto,3
830,osaba,3
831,caballero,3
832,dedos,3
833,echando,3
834,rato,3
835,lenguas,3
836,desastre,3
837,será,3
838,santo,3
839,oraciones,3
840,busca,3
841,holgaba,3
842,espero,3
843,estoy,3
844,reverencia,3
845,hablando,3
846,letras,3
847,artes,3
848,sacaba,3
849,vinieron,3
850,llevan,3
851,plega,3
852,sois,3
853,estotro,3
854,cuantas,3
855,tuviera,3
856,pasión,3
857,predica,3
858,males,3
859,entrase,3
860,mozos,3
861,tomado,3
862,ropa,3
863,treinta,3
864,persecución,3
865,diligente,3
866,bondad,3
867,ciertas,3
868,dormido,3
869,púseme,3
870,comencé,3
871,burla,3
872,irse,3
873,hicieron,3
874,quedar,3
875,espada,3
876,subió,3
877,ambos,3
878,ante,3
879,libras,3
880,hago,3
881,forma,3
882,causa,3
883,mientras,3
884,hechas,3
885,mostró,3
886,quedado,3
887,gusto,3
888,rogaba,3
889,derecha,3
890,fatigas,3
891,llorar,3
892,suplico,3
893,pieza,3
894,puestas,3
895,servicio,3
896,mirase,3
897,amigo,3
898,gentes,3
899,oro,3
900,extenso,3
901,ingenio,3
902,bonete,3
903,evitar,3
904,obras,3
905,suerte,3
906,pobres,3
907,come,3
908,capellán,3
909,fraile,3
910,tuviese,3
911,conocimiento,3
912,poniendo,3
913,haciendo,3
914,sepultura,3
915,noticia,3
916,tomaba,3
917,decirle,3
918,meses,3
919,mozuelo,3
920,lado,3
921,conocí,3
922,asenté,3
923,ven,3
924,voz,3
925,cuántos,3
926,alfamar,3
927,hermanico,3
928,romance,3
929,conveniente,3
930,alcanzar,3
931,adversidades,3
932,fortunas,3
933,burlas,3
934,aquéllos,3
935,necesario,3
936,manda,3
937,alforjas,3
938,veinte,3
939,pasan,3
940,dineros,3
941,mezquino,3
942,gentil,3
943,indulgencia,2
944,juramento,2
945,padecía,2
946,asador,2
947,alcanzaron,2
948,manjar,2
949,costado,2
950,semblante,2
951,galgo,2
952,asno,2
953,puedo,2
954,caballos,2
955,miré,2
956,cumplir,2
957,desventurado,2
958,dimos,2
959,negro,2
960,preso,2
961,relación,2
962,respondióme,2
963,bienes,2
964,comendador,2
965,deso,2
966,ajena,2
967,calla,2
968,dará,2
969,preguntó,2
970,aceña,2
971,esparto,2
972,traer,2
973,tantos,2
974,llegaba,2
975,ayudar,2
976,queréis,2
977,bendito,2
978,vinos,2
979,pasos,2
980,personas,2
981,tomase,2
982,vestir,2
983,recibió,2
984,conocido,2
985,tomóle,2
986,parto,2
987,rebanadas,2
988,manténgaos,2
989,dieron,2
990,vives,2
991,seis,2
992,confesó,2
993,sobrino,2
994,vínose,2
995,conversación,2
996,conde,2
997,dadas,2
998,traen,2
999,encontré,2
1000,mesonera,2
1001,rompía,2
1002,mísero,2
1003,pariente,2
1004,casilla,2
1005,llamó,2
1006,cuerno,2
1007,falsario,2
1008,feneció,2
1009,viuda,2
1010,usan,2
1011,almorzado,2
1012,viese,2
1013,habéis,2
1014,determinó,2
1015,invierno,2
1016,queriendo,2
1017,abriese,2
1018,hobiera,2
1019,taberna,2
1020,púsome,2
1021,calles,2
1022,gozar,2
1023,acuérdome,2
1024,ayudaba,2
1025,verás,2
1026,pasamos,2
1027,quiere,2
1028,debían,2
1029,sentóse,2
1030,despedir,2
1031,llegamos,2
1032,preguntándome,2
1033,so,2
1034,mantenga,2
1035,olla,2
1036,conocer,2
1037,hombro,2
1038,contra,2
1039,fuego,2
1040,ladrón,2
1041,recuesta,2
1042,consideración,2
1043,moros,2
1044,adversa,2
