,Words,Frequency
429,vérité,149
430,fer,148
431,del,147
432,--vous,146
433,haut,145
434,--mais,145
435,vieux,145
436,partie,145
437,seigneur,145
438,simple,145
439,couvent,144
440,bas,144
441,fin,144
442,mouvement,143
443,hors,143
444,courage,143
445,scène,142
446,rassi,141
447,colère,141
448,regard,141
449,nouvelle,141
450,figure,140
451,heureux,140
452,roi,139
453,venir,139
454,nos,138
455,maston,138
456,haute,137
457,--il,137
458,toi,136
459,passait,136
460,dongo,135
461,ceux,135
462,aouda,135
463,savoir,134
464,héros,133
465,autant,133
466,église,133
467,etc,133
468,tard,133
469,aprčs,133
470,jeunes,132
471,petits,132
472,mrs,131
473,ta,131
474,messieurs,131
475,malheureux,130
476,quinze,130
477,cher,130
478,ayant,130
479,police,129
480,vois,129
481,celui-ci,129
482,pied,129
483,mains,129
484,pourrait,128
485,soldat,128
486,projectile,127
487,parut,127
488,cas,127
489,président,127
490,ardan,126
491,regardait,126
492,avais,126
493,dernier,126
494,citadelle,126
495,salomé,125
496,france,124
497,position,124
498,idées,123
499,autour,123
500,mosca,123
501,tellement,123
502,train,123
503,alla,122
504,voulut,122
505,terrible,122
506,devoir,122
507,noble,122
508,compte,122
509,fenêtre,122
510,conversation,122
511,--c,122
512,comtesse,121
513,entendre,121
514,eau,121
515,sait,121
516,second,121
517,suivant,120
518,voiture,120
519,besoin,120
520,milles,120
521,vivement,119
522,veut,119
523,dîner,119
524,donnait,119
525,neuf,119
526,źtre,118
527,long,117
528,beauté,117
529,grandes,117
530,mis,117
531,corps,117
532,impossible,117
533,rendre,117
534,--eh,117
535,présence,117
536,aura,117
537,noir,117
538,cardinal,116
539,fou,116
540,parmi,116
541,regarder,116
542,habit,116
543,hasard,115
544,immense,115
545,ludovic,115
546,oł,115
547,arrivée,115
548,donne,115
549,auprès,115
550,au-dessus,114
551,croyait,114
552,beaux,114
553,italie,114
554,chercher,114
555,lieues,114
556,garde,114
557,extrême,114
558,écrire,114
559,années,113
560,passa,113
561,famille,113
562,telle,113
563,valenod,112
564,chapitre,112
565,foule,112
566,journée,112
567,aujourd,112
568,hui,112
569,gun-club,112
570,rapidement,112
571,absolument,111
572,enfant,111
573,sept,111
574,voulu,111
575,cinquante,110
576,parlait,110
577,avons,110
578,aussitôt,109
579,voyant,109
580,domestique,109
581,-t,109
582,arrivé,109
583,vite,109
584,nombre,109
585,mźme,108
586,pirard,108
587,riche,108
588,douze,107
589,michel,107
590,soleil,107
591,désespoir,107
592,ensuite,106
593,i,106
594,entrer,106
595,chacun,106
596,lac,106
597,travers,106
598,ridicule,106
599,donna,106
600,sang,105
601,regards,105
602,trouve,105
603,table,105
604,quoique,105
605,demande,105
606,pensa,104
607,premiers,104
608,demander,104
609,guerre,104
610,croire,104
611,attention,104
612,étais,104
613,partir,103
614,quelquefois,103
615,quant,103
616,entendit,103
617,bout,103
618,mariage,103
619,laisser,103
620,sens,103
621,ajouta,103
622,regarda,102
623,entendu,102
624,triste,102
625,mourir,102
626,intérêt,101
627,afin,101
628,pape,101
629,chevaux,101
630,sorel,101
631,auquel,101
632,besançon,100
633,arriva,100
634,milan,100
635,trouvé,99
636,salle,99
637,amant,99
638,pensée,99
639,certain,99
640,aimable,99
641,archevêque,99
642,sortir,99
643,affaires,99
644,--ah,98
645,mauvais,98
646,pourtant,98
647,humeur,98
648,ceci,98
649,amitié,98
650,exemple,98
651,--,98
652,campireali,97
653,faisant,97
654,moments,97
655,parfaitement,97
656,--oui,97
657,mer,96
658,perdre,96
659,droit,96
660,répondre,96
661,bord,96
662,rue,96
663,seconde,95
664,propos,95
665,parle,94
666,don,94
667,horreur,94
668,naples,94
669,crois,93
670,oh,93
671,faite,93
672,garçon,93
673,bouche,93
674,étonné,93
675,crime,93
676,histoire,93
677,demain,93
678,suivre,93
679,tomber,92
680,profonde,92
681,petites,91
682,altesse,91
683,passé,91
684,voyageurs,91
685,hôtel,91
686,pont,91
687,curé,91
688,château,91
689,canon,90
690,puisque,90
691,distance,90
692,regardant,90
693,aurais,90
694,détails,90
695,maîtresse,90
696,frère,89
697,société,89
698,genre,89
699,compagnie,89
700,sentait,89
701,quitter,89
702,instants,89
703,mépris,89
704,fabio,89
705,sujet,89
706,véritable,89
707,chemin,89
708,conti,88
709,saint,88
710,--j,88
711,occasion,88
712,évêque,88
713,gentleman,88
714,veille,88
715,somme,88
716,demi,88
717,tuer,88
718,folie,87
719,perdu,87
720,allez,87
721,hérodias,87
722,service,87
723,magnifique,87
724,hauteur,87
725,lit,86
726,voit,86
727,sauver,86
728,réponse,86
729,colonel,86
730,parlé,86
731,profondément,86
732,gros,86
733,ordres,86
734,singulier,86
735,sommes,86
736,prisonnier,86
737,napoléon,86
738,droite,86
739,hérode,85
740,vivre,85
741,louis,85
742,action,85
743,longue,85
744,semble,85
745,anglais,85
746,retour,85
747,porter,85
748,succès,85
749,signe,84
750,public,84
751,trente,84
752,moindre,84
753,amie,84
754,dames,84
755,sûr,84
756,vitesse,84
757,peuple,84
758,crut,84
759,as,84
760,aimé,84
761,étant,84
762,sort,84
763,gauche,83
764,digne,83
765,aimait,83
766,secret,83
767,serai,83
768,armes,83
769,énorme,83
770,cheveux,82
771,douleur,82
772,derrière,82
773,londres,82
774,sentit,82
775,rôle,81
776,toutefois,81
777,œil,81
778,parla,81
779,genoux,81
780,attendre,81
781,poste,81
782,lire,81
783,carbon,81
784,giletti,81
785,danger,80
786,croisenois,80
787,aperçut,80
788,revint,80
789,prix,80
790,imagination,80
791,pčre,80
792,écrit,80
793,an,79
794,vive,79
795,passeport,79
796,tes,79
797,elle-même,79
798,cris,79
799,conduite,78
800,obligé,78
801,fouqué,78
802,séminaire,78
803,gouverneur,78
804,orgueil,78
805,juge,78
806,reçu,78
807,quelqu,78
808,tandis,78
809,vent,77
810,faveur,77
811,sentiment,77
812,midi,77
813,penser,77
814,épée,77
815,riant,77
816,malheureuse,77
817,quart,77
818,sœur,76
819,jeta,76
820,cenci,76
821,onze,76
822,fais,76
823,papier,76
824,monter,76
825,dois,76
826,froid,76
827,--non,76
828,arrêter,76
829,ennemi,76
830,amoureux,76
831,remarqua,75
832,difficile,75
833,rouge,75
834,minuit,75
835,affreux,75
836,parlant,75
837,étrange,75
838,obtenir,75
839,nez,75
840,faites,75
841,vin,74
842,maréchal,74
843,troisième,74
844,eūt,74
845,haine,74
846,âge,74
847,bourgeois,74
848,excellence,74
849,ennemis,74
850,tenir,74
851,entra,74
852,profond,74
853,remords,74
854,aimer,74
855,soirée,73
856,brave,73
857,vain,73
858,maire,73
859,tué,73
860,arrêta,73
861,cours,73
862,manière,72
863,siècle,72
864,cacher,72
865,sanseverina,72
866,domestiques,72
867,courant,72
868,respect,72
869,prêtre,72
870,jour-là,72
871,iokanaan,72
872,adresse,71
873,branciforte,71
874,montre,71
875,ajouta-t-il,71
876,envers,71
877,tenait,71
878,pensait,71
879,ennui,71
880,récit,71
881,réellement,71
882,personnes,71
883,restait,70
884,combien,70
885,paquebot,70
886,jolie,70
887,contraire,70
888,fera,70
889,face,70
