,Words,Frequency,%
390,truth,716598,0.021227240567762706
391,care,715652,0.021199217925253096
392,seems,715341,0.02119000540747245
393,person,705789,0.020907053735958896
394,character,701762,0.020787764960709203
395,common,701120,0.02076874748027456
396,hard,696755,0.020639446386665195
397,beautiful,696580,0.020634262494023354
398,company,696279,0.020625346198679385
399,party,694495,0.020572500115976267
400,age,690385,0.020450752694502156
401,ten,687335,0.020360404851315773
402,thousand,686021,0.02032148122313646
403,sat,685884,0.02031742297575399
404,fell,685763,0.0203138386842702
405,fine,685694,0.020311794749457133
406,show,685466,0.020305040877900905
407,mean,685186,0.020296746649673958
408,account,682150,0.020206813517898922
409,dark,681459,0.020186344547524562
410,red,679666,0.020133231864628436
411,miles,678916,0.020111015181877686
412,followed,678872,0.020109711803156308
413,turn,677087,0.020056836098209525
414,london,676467,0.02003847030713557
415,necessary,676153,0.02002916892262392
416,cause,675174,0.02000016874607328
417,arms,673862,0.019961304362381298
418,soul,672722,0.019927535004600157
419,feel,671044,0.019877828879725813
420,across,670966,0.019875518344719734
421,master,670662,0.019866513182644766
422,evening,667046,0.019759399149542483
423,returned,665167,0.019703738953690934
424,art,663732,0.019661231034027834
425,brother,660720,0.019572008836100822
426,wish,659640,0.01954001681293974
427,position,658265,0.0194992862278967
428,thee,657998,0.01949137708883743
429,carried,657480,0.01947603276661758
430,although,656998,0.019461754845169765
431,doubt,656840,0.019457074530670273
432,live,653451,0.01935668474688055
433,force,651441,0.01929714403710854
434,free,649893,0.01925128880391099
435,ready,648641,0.019214201754839073
436,road,648469,0.019209106728928234
437,army,646356,0.019146514928058456
438,south,645898,0.019132947940458663
439,bring,644584,0.01909402431227935
440,interest,639440,0.01894164749085287
441,act,638690,0.01891943080810212
442,idea,635347,0.01882040364752111
443,nearly,633960,0.018779317595554058
444,further,633095,0.018753694354781525
445,suddenly,630990,0.018691339531861088
446,six,630837,0.018686807328579934
447,met,630225,0.018668678515455322
448,sun,630158,0.018666693825129588
449,sense,627518,0.018588491101846946
450,north,627118,0.018576642204379882
451,need,623948,0.018482739691953378
452,hold,622465,0.018438809904594226
453,view,620819,0.018390051691517247
454,cut,620549,0.018382053685726978
455,answer,618480,0.018320765263578575
456,sight,617762,0.01829949649262519
457,street,615390,0.018229232530645484
458,fear,614219,0.018194544883310647
459,reached,611032,0.01810013879274179
460,table,609077,0.018042227306371502
461,rose,604634,0.01791061567775606
462,everything,604332,0.017901669760168423
463,probably,599258,0.017751366495798684
464,ask,596571,0.017671771527063663
465,hours,596074,0.017657049271960833
466,won,595367,0.017636106345687793
467,taking,595009,0.017625501582454767
468,sort,594613,0.01761377117396237
469,continued,594213,0.017601922276495305
470,beyond,594205,0.01760168529854596
471,court,592708,0.017557340799775466
472,appeared,590481,0.01749137206312757
473,service,589782,0.01747066611480387
474,natural,589549,0.017463764132029307
475,deep,587578,0.017405378689760335
476,chief,586840,0.017383517473933595
477,american,583902,0.017296487322037993
478,longer,582139,0.017244263306451894
479,else,579773,0.017174177077934196
480,none,578154,0.017126218665436243
481,seem,574742,0.017025147570042164
482,front,574472,0.017017149564251894
483,understand,573392,0.016985157541090812
484,horse,573172,0.016978640647483927
485,late,572450,0.01695725338755587
486,cold,571778,0.016937347239811197
487,big,570586,0.01690203752535934
488,purpose,570241,0.016891817851293994
489,didn,569655,0.016874459216504743
490,past,567136,0.01679984078470589
491,strange,564475,0.016721015994306226
492,added,563034,0.01667833034118112
493,clear,562931,0.01667527925008335
494,latter,562868,0.016673413048732287
495,blood,562699,0.016668406889552453
496,real,562489,0.016662186218382242
497,united,561221,0.01662462521341164
498,france,561154,0.016622640523085905
499,knowledge,559876,0.01658478329567863
500,neither,556959,0.016498375210900043
501,effect,555953,0.01646857523377037
502,placed,554876,0.016436672077340293
503,school,553913,0.01640814585668833
504,certainly,552732,0.016373161986916816
505,forward,552681,0.016371651252489766
506,eye,551985,0.016351034170897068
507,ought,551891,0.016348249679992308
508,suppose,551286,0.01633032822257337
509,sound,549354,0.01627309804780744
510,bed,548425,0.016245578983440177
511,except,548295,0.01624172809176338
512,run,546669,0.016193562323559754
513,according,546329,0.016183490760712745
514,toward,546160,0.01617848460153291
515,stand,545132,0.01614803293504255
516,living,544904,0.016141279063486322
517,talk,544135,0.016118499558105886
518,peace,543347,0.016095157230095764
519,boys,541762,0.016048205973882512
520,feeling,540815,0.01602015370912923
521,died,540520,0.01601141514724727
522,length,539826,0.01599085731014191
523,change,538597,0.015954451572674347
524,low,535835,0.01587263493566425
525,husband,535023,0.015848581673806105
526,west,531421,0.01574188235211517
527,enemy,530527,0.015715400066276274
528,gold,529772,0.015693035272307185
529,note,528734,0.015662287383380148
530,spoke,528401,0.015652423176238814
531,happy,526475,0.015595370734934888
532,fall,525991,0.015581033568999737
533,pass,525939,0.015579493212329019
534,bad,523931,0.015520011747044345
535,remember,523531,0.015508162849577277
536,society,522749,0.015484998255029163
537,written,522056,0.01546447004016747
538,prince,521749,0.015455376011361495
539,meet,521575,0.015450221740963322
540,forth,520508,0.01541861480696992
541,daughter,519260,0.015381646246872672
542,fair,517832,0.015339345682915244
543,comes,516715,0.01530625763673846
544,pretty,514009,0.015226099845373754
545,led,512250,0.015173994318762329
546,parts,508761,0.015070642310605838
547,various,505754,0.014981568223897165
548,distance,505329,0.014968978770338407
549,william,504839,0.014954463870941249
550,ship,503499,0.014914770064426576
551,attention,503327,0.014909675038515736
552,greater,503017,0.01490049214297876
553,iii,502889,0.014896700495789299
554,saying,502581,0.014887576844739658
555,george,500742,0.014833101538634819
556,important,500523,0.014826614267271599
557,green,500481,0.014825370133037558
558,laid,500040,0.014812306723580117
559,office,499613,0.014799658025534023
560,entered,499486,0.014795896000588228
561,especially,495669,0.014682827896508745
562,queen,495070,0.014665084172551813
563,period,493004,0.014603884617134412
564,york,491342,0.014554652448158751
565,trees,490902,0.014541618660944977
566,play,490827,0.014539396992669902
567,doing,489968,0.014513951485359377
568,british,488275,0.014463801026830016
569,action,487935,0.01445372946398301
570,opened,484606,0.014355117014813347
571,hair,483671,0.014327420216984079
572,wild,483428,0.014320222011772835
573,heaven,480702,0.014239471775534775
574,persons,480108,0.01422187616279618
575,wind,478572,0.014176376396522646
576,ago,478306,0.014168496879707046
577,bear,477214,0.014136149389621953
578,footnote,476239,0.014107267702045978
579,island,475812,0.014094619003999885
580,paper,473913,0.014038366363274985
581,foot,473313,0.014020593017074385
582,third,471763,0.013974678539389503
583,system,471391,0.01396365906474513
584,faith,469549,0.013909094891909288
585,makes,468818,0.013887441031788223
586,blue,466661,0.013823545852197066
587,wanted,465877,0.013800322013161614
588,minutes,465495,0.013789006316080566
589,instead,464863,0.013770285058082601
590,letters,463787,0.013738411523896191
591,object,462506,0.01370046542975791
592,tried,461479,0.013670043385511216
593,century,461196,0.013661660290553266
594,immediately,461024,0.013656565264642428
595,below,458919,0.01359421044172199
596,generally,458864,0.013592581218320268
597,lived,455958,0.013506498978222028
598,duty,455889,0.013504455043408959
599,pay,455833,0.013502796197763569
600,fellow,453483,0.013433183925144553
601,heavy,452905,0.01341606226830464
602,strength,452486,0.013403650548207888
603,ancient,449966,0.013329002494165368
604,stone,449208,0.013306548833465277
605,opinion,449016,0.013300861362681085
606,remained,448647,0.013289930754767715
607,beauty,448287,0.013279266747047356
608,doctor,448249,0.013278141101787985
609,mine,447735,0.013262915268542803
610,months,447463,0.013254858018265198
611,books,447372,0.01325216239409144
612,christ,446878,0.013237529005719614
613,food,445992,0.01321128369783006
614,works,445435,0.01319478410810717
615,henry,443874,0.013148543785741942
616,whatever,442457,0.013106569066464858
617,pleasure,441633,0.0130821603376827
618,battle,440662,0.013053397139081395
619,influence,439187,0.013009704329671587
620,ran,438121,0.012978127017921854
621,mary,436104,0.01291837895244417
622,standing,435631,0.012904367631189365
623,places,434327,0.012865740225446726
624,desire,434124,0.01285972690998219
625,march,433260,0.012834133291453326
626,save,432969,0.012825513218546036
627,arm,431871,0.012792987994998938
628,trouble,430861,0.012763069528894593
629,glad,430732,0.012759248259461465
630,gentleman,430204,0.012743607714804936
631,afterwards,428850,0.012703499196878916
632,field,426998,0.012648638801606396
633,beginning,426981,0.012648135223464045
634,east,426383,0.012630421121750782
635,hardly,425864,0.012615047177287262
636,condition,425055,0.01259108278216012
637,window,423021,0.012530831138540085
638,single,422853,0.012525854601603917
639,die,422758,0.012523040488455489
640,former,421960,0.012499401938008692
641,chance,421855,0.012496291602423586
642,appearance,421798,0.01249460313453453
643,try,420905,0.012468150470939302
644,sister,420669,0.012461159621433734
645,tree,419328,0.012421436192675392
646,german,418451,0.012395457484978849
647,mouth,418404,0.012394065239526467
648,lines,417109,0.01235570443397684
649,charles,416183,0.01232827423634058
650,rich,416157,0.01232750405800522
651,appear,412995,0.012233838523528058
652,happened,412839,0.012229217453515902
653,boat,412390,0.01221591706610912
654,horses,411823,0.012199121253949553
655,future,411693,0.012195270362272756
656,sleep,411395,0.01218644293365979
657,figure,410772,0.012167988275854835
658,send,410227,0.012151844153055957
659,wood,409944,0.012143461058098007
660,besides,408649,0.012105100252548379
661,result,408007,0.012086082772113736
662,silence,407858,0.012081669057807254
663,follow,407114,0.01205963010851851
664,filled,405302,0.012005954602992697
665,impossible,404169,0.011972392600917231
666,sweet,404079,0.011969726598987141
667,deal,403857,0.011963150460892918
668,twenty,403264,0.011945584470397992
669,wall,403103,0.011940815289167498
670,girls,402624,0.011926626234450685
671,slowly,402305,0.011917176738720699
672,formed,402039,0.011909297221905101
673,exclaimed,401906,0.011905357463497301
674,presence,401550,0.011894811944751612
675,broken,401279,0.011886784316717674
676,cases,400944,0.011876860865089005
677,hall,400448,0.011862168232229842
678,top,399301,0.01182819151874303
679,paris,397325,0.011769657965255718
680,lips,397232,0.011766903096594627
681,direction,396838,0.011755231932589566
682,author,395796,0.011724365554687857
683,hill,395460,0.01171441248081552
684,james,394893,0.011697616668655953
685,royal,394814,0.011695276511406208
686,arrived,394457,0.01168470137041685
687,christian,393787,0.011664854467159515
688,wrote,392862,0.011637453891766921
689,village,392229,0.011618703011525289
690,est,391217,0.01158872530093361
691,born,390948,0.011580756917387008
692,drew,390815,0.011576817158979208
693,started,390407,0.0115647312835628
694,simple,390361,0.011563368660354087
695,entirely,390064,0.011554570853984791
696,carry,389883,0.011549209227880943
697,merely,389785,0.011546306248001511
698,covered,389771,0.011545891536590164
699,seven,388619,0.011511766711885012
700,thinking,388319,0.011502880038784712
701,yourself,387369,0.011474738907300427
702,officers,387345,0.011474027973452405
703,holy,387068,0.01146582261195646
704,week,386898,0.011460786830532957
705,caught,386590,0.011451663179483316
706,raised,386130,0.01143803694739619
707,somewhat,385850,0.011429742719169243
708,particular,385775,0.011427521050894167
709,easy,385526,0.011420145112220918
710,giving,385165,0.01140945148225689
711,language,384617,0.011393218492727009
712,modern,382070,0.011317770638105462
713,smile,381844,0.011311076011036569
714,america,381732,0.01130775831974579
715,outside,381724,0.01130752134179645
716,per,381222,0.01129265097547528
717,seeing,380069,0.01125849652852646
718,stay,379089,0.011229466729732147
719,visit,379081,0.011229229751782806
720,getting,378511,0.011212345072892236
721,considered,378434,0.011210064160129825
722,moved,378184,0.01120265859921291
723,easily,377934,0.011195253038295992
724,brown,377731,0.011189239722831456
725,occasion,377574,0.011184589030575632
726,tom,377015,0.011168030196365406
727,lower,376348,0.011148272159839072
728,clock,376062,0.01113980019815012
729,knows,375814,0.011132453881720537
730,walked,375671,0.011128217900876062
731,experience,375034,0.011109348531659758
732,uncle,374931,0.011106297440561989
733,value,374623,0.011097173789512346
734,indian,374401,0.011090597651418125
735,fig,373649,0.01106832172418004
736,middle,373133,0.011053036646447523
737,plain,372090,0.011022140646302147
738,command,372011,0.0110198004890524
739,danger,371824,0.011014261129486547
740,struck,371775,0.011012809639546832
741,learned,371490,0.011004367300101547
742,usual,371093,0.010992607269365483
743,leaving,370223,0.010966835917374613
744,bright,370032,0.010961178068834088
745,thoughts,369416,0.010942930766734806
746,national,369374,0.010941686632500764
747,music,368866,0.01092663853271759
748,camp,368310,0.010910168565238366
749,secret,368284,0.010909398386903007
750,quickly,367929,0.010898882490400986
751,scene,367073,0.010873525849821462
752,president,366769,0.010864520687746492
753,spring,366401,0.010853619702076791
754,board,366027,0.010842540982945082
755,to-day,365884,0.010838305002100607
756,finally,365561,0.01082873701739595
757,afraid,364978,0.0108114672493377
758,winter,364873,0.010808356913752596
759,summer,364168,0.01078747323196689
760,duke,364075,0.010784718363305797
761,fresh,363661,0.010772454754427382
762,regard,363627,0.010771447598142683
763,piece,363316,0.010762235080362038
764,religion,363143,0.010757110432207532
765,unto,362138,0.010727340077321526
766,houses,362066,0.010725207275777455
767,married,360315,0.01067333872711537
768,perfect,359644,0.010653462201614365
769,circumstances,359437,0.010647330397175159
770,paid,359236,0.010641376326197957
771,greatest,358852,0.010630001384629573
772,expression,357900,0.010601801008657956
773,wonder,357710,0.010596172782361099
774,walk,357631,0.010593832625111353
775,evil,357427,0.010587789687403149
776,fight,357350,0.010585508774640737
777,remain,356977,0.010574459677752699
778,success,356950,0.010573659877173671
779,observed,356625,0.01056403264798168
780,scarcely,356257,0.010553131662311978
781,wait,355873,0.010541756720743594
782,write,355500,0.010530707623855554
783,jack,355476,0.01052999669000753
784,study,355418,0.010528278599874806
785,wrong,354911,0.010513260122335298
786,charge,354792,0.010509735075338845
787,page,354416,0.010498597111719804
788,due,354414,0.010498537867232469
789,original,353781,0.010479786986990836
790,stopped,353646,0.0104757879840957
791,respect,353551,0.010472973870947271
792,built,353240,0.010463761353166628
793,wide,353029,0.010457511059752749
794,race,352608,0.010445040095168662
795,youth,351810,0.010421401544721863
796,loved,351636,0.01041624727432369
797,leaves,351404,0.01040937491379279
798,joy,350696,0.010388402365276083
799,worth,350569,0.010384640340330289
800,political,350506,0.010382774138979227
801,showed,350231,0.010374628021970618
802,allowed,349738,0.010360024255842459
803,proper,349366,0.010349004781198086
804,picture,349263,0.010345953690100317
805,eight,348918,0.010335734016034971
806,killed,348793,0.010332031235576513
807,forms,348741,0.010330490878905795
808,quiet,348698,0.010329217122428085
809,military,348327,0.01031822727002738
810,laughed,348155,0.010313132244116542
811,colonel,347702,0.01029971336773509
812,lives,347460,0.010292544784767514
813,mere,347025,0.010279659108772078
814,difficult,345832,0.010244319772076552
815,etc,344394,0.010201722985682447
816,walls,343659,0.010179950636586712
817,please,343520,0.010175833144716906
818,expected,342440,0.010143841121555825
819,grew,342050,0.010132288446525436
820,garden,341992,0.01013057035639271
821,beside,341607,0.010119165792580658
